time stamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,speed,latitude,longitude
2963.964194,-0.01,-0.94,0.27,-0.03,-0.06,0.01,,, 
2964.163993,-0.02,-0.93,0.32,-0.06,-0.06,-0.01,0.17,30.701234350009543, 76.8231583759904
2964.362045,-0.0,-0.93,0.27,-0.06,-0.01,-0.02,,, 
2964.561817,-0.04,-0.94,0.34,-0.04,-0.07,0.01,,, 
2964.759845,-0.04,-0.92,0.33,-0.05,-0.02,-0.01,,, 
2964.959609,-0.01,-0.92,0.33,0.07,0.03,-0.02,,, 
2965.15768,0.06,-1.1,0.39,-0.06,0.04,0.02,0.0,30.701234350009543, 76.8231583759904
2965.357442,-0.01,-1.02,0.37,-0.06,-0.1,0.03,,, 
2965.557483,-0.05,-0.98,0.36,-0.04,-0.13,0.04,,, 
2965.757293,-0.03,-0.95,0.37,-0.05,-0.03,0.01,,, 
2965.955364,0.02,-0.89,0.31,-0.02,0.09,-0.04,,, 
2966.155147,0.02,-0.89,0.32,0.03,0.06,-0.03,0.25,30.701231877348107, 76.82315913036169
2966.353196,0.0,-0.88,0.34,0.03,-0.05,0.01,,, 
2966.552956,-0.05,-0.89,0.34,0.07,-0.01,0.01,,, 
2966.751017,-0.02,-0.85,0.39,0.03,0.01,-0.01,,, 
2966.950794,-0.07,-0.87,0.43,-0.04,-0.02,-0.01,,, 
2967.148823,-0.04,-0.93,0.51,0.01,-0.06,0.02,0.0,30.701231877348107, 76.82315913036169
2967.348638,-0.02,-0.87,0.47,-0.07,-0.03,-0.01,,, 
2967.546736,-0.06,-0.9,0.54,-0.0,-0.06,0.0,,, 
2967.746478,-0.03,-0.88,0.57,-0.03,-0.04,0.01,,, 
2967.944528,-0.03,-0.87,0.49,0.04,-0.07,0.03,,, 
2968.144325,-0.06,-0.85,0.45,0.03,-0.01,-0.01,1.62,30.701226932025236, 76.82316659025551
2968.342382,-0.05,-0.83,0.54,-0.04,-0.06,0.01,,, 
2968.542134,-0.09,-0.88,0.51,0.0,-0.06,0.01,,, 
2968.740174,-0.07,-0.84,0.54,0.11,0.02,0.01,,, 
2968.939913,-0.13,-0.79,0.42,0.14,0.01,0.0,,, 
2969.13796,-0.05,-0.76,0.48,-0.11,-0.01,-0.03,3.26,30.70122110660253, 76.82319089777471
2969.337739,-0.02,-0.94,0.33,-0.11,-0.05,-0.05,,, 
